#ENA	NCBI	original
ENA|JAZBNO010000001|JAZBNO010000001.1	JAZBNO010000001.1	chr1
ENA|JAZBNO010000002|JAZBNO010000002.1	JAZBNO010000002.1	chr2
ENA|JAZBNO010000003|JAZBNO010000003.1	JAZBNO010000003.1	chr3
ENA|JAZBNO010000004|JAZBNO010000004.1	JAZBNO010000004.1	chr4
ENA|JAZBNO010000005|JAZBNO010000005.1	JAZBNO010000005.1	chr5
ENA|JAZBNO010000006|JAZBNO010000006.1	JAZBNO010000006.1	chr6
ENA|JAZBNO010000007|JAZBNO010000007.1	JAZBNO010000007.1	chr7
ENA|JAZBNO010000008|JAZBNO010000008.1	JAZBNO010000008.1	chr8
ENA|JAZBNO010000009|JAZBNO010000009.1	JAZBNO010000009.1	chr9
ENA|JAZBNO010000010|JAZBNO010000010.1	JAZBNO010000010.1	chr10
ENA|JAZBNO010000011|JAZBNO010000011.1	JAZBNO010000011.1	chr11
ENA|JAZBNO010000012|JAZBNO010000012.1	JAZBNO010000012.1	chr12
ENA|JAZBNO010000013|JAZBNO010000013.1	JAZBNO010000013.1	chr13
ENA|JAZBNO010000014|JAZBNO010000014.1	JAZBNO010000014.1	chr14
ENA|JAZBNO010000015|JAZBNO010000015.1	JAZBNO010000015.1	chr15
ENA|JAZBNO010000016|JAZBNO010000016.1	JAZBNO010000016.1	chr16
ENA|JAZBNO010000017|JAZBNO010000017.1	JAZBNO010000017.1	chr17
ENA|JAZBNO010000018|JAZBNO010000018.1	JAZBNO010000018.1	chr18
ENA|JAZBNO010000019|JAZBNO010000019.1	JAZBNO010000019.1	chr19
ENA|JAZBNO010000020|JAZBNO010000020.1	JAZBNO010000020.1	chr20
ENA|JAZBNO010000021|JAZBNO010000021.1	JAZBNO010000021.1	scaffold_21
ENA|JAZBNO010000022|JAZBNO010000022.1	JAZBNO010000022.1	scaffold_22
ENA|JAZBNO010000023|JAZBNO010000023.1	JAZBNO010000023.1	scaffold_23
ENA|JAZBNO010000024|JAZBNO010000024.1	JAZBNO010000024.1	scaffold_24
ENA|JAZBNO010000025|JAZBNO010000025.1	JAZBNO010000025.1	scaffold_25
ENA|JAZBNO010000026|JAZBNO010000026.1	JAZBNO010000026.1	scaffold_26
ENA|JAZBNO010000027|JAZBNO010000027.1	JAZBNO010000027.1	scaffold_27
ENA|JAZBNO010000028|JAZBNO010000028.1	JAZBNO010000028.1	scaffold_28
ENA|JAZBNO010000029|JAZBNO010000029.1	JAZBNO010000029.1	scaffold_29
ENA|JAZBNO010000030|JAZBNO010000030.1	JAZBNO010000030.1	scaffold_30
ENA|JAZBNO010000031|JAZBNO010000031.1	JAZBNO010000031.1	scaffold_31
ENA|JAZBNO010000032|JAZBNO010000032.1	JAZBNO010000032.1	scaffold_32
ENA|JAZBNO010000033|JAZBNO010000033.1	JAZBNO010000033.1	scaffold_33
ENA|JAZBNO010000034|JAZBNO010000034.1	JAZBNO010000034.1	scaffold_34
ENA|JAZBNO010000035|JAZBNO010000035.1	JAZBNO010000035.1	scaffold_35
ENA|JAZBNO010000036|JAZBNO010000036.1	JAZBNO010000036.1	scaffold_36
ENA|JAZBNO010000037|JAZBNO010000037.1	JAZBNO010000037.1	scaffold_37
ENA|JAZBNO010000038|JAZBNO010000038.1	JAZBNO010000038.1	scaffold_38
ENA|JAZBNO010000039|JAZBNO010000039.1	JAZBNO010000039.1	scaffold_39
ENA|JAZBNO010000040|JAZBNO010000040.1	JAZBNO010000040.1	scaffold_40
ENA|JAZBNO010000041|JAZBNO010000041.1	JAZBNO010000041.1	scaffold_41
ENA|JAZBNO010000042|JAZBNO010000042.1	JAZBNO010000042.1	scaffold_42
ENA|JAZBNO010000043|JAZBNO010000043.1	JAZBNO010000043.1	scaffold_43
ENA|JAZBNO010000044|JAZBNO010000044.1	JAZBNO010000044.1	scaffold_44
ENA|JAZBNO010000045|JAZBNO010000045.1	JAZBNO010000045.1	scaffold_45
ENA|JAZBNO010000046|JAZBNO010000046.1	JAZBNO010000046.1	scaffold_46
ENA|JAZBNO010000047|JAZBNO010000047.1	JAZBNO010000047.1	scaffold_47
ENA|JAZBNO010000048|JAZBNO010000048.1	JAZBNO010000048.1	scaffold_48
ENA|JAZBNO010000049|JAZBNO010000049.1	JAZBNO010000049.1	scaffold_49
ENA|JAZBNO010000050|JAZBNO010000050.1	JAZBNO010000050.1	scaffold_50
ENA|JAZBNO010000051|JAZBNO010000051.1	JAZBNO010000051.1	scaffold_51
ENA|JAZBNO010000052|JAZBNO010000052.1	JAZBNO010000052.1	scaffold_52
ENA|JAZBNO010000053|JAZBNO010000053.1	JAZBNO010000053.1	scaffold_53
ENA|JAZBNO010000054|JAZBNO010000054.1	JAZBNO010000054.1	scaffold_54
ENA|JAZBNO010000055|JAZBNO010000055.1	JAZBNO010000055.1	scaffold_55
ENA|JAZBNO010000056|JAZBNO010000056.1	JAZBNO010000056.1	scaffold_56
ENA|JAZBNO010000057|JAZBNO010000057.1	JAZBNO010000057.1	scaffold_57
ENA|JAZBNO010000058|JAZBNO010000058.1	JAZBNO010000058.1	scaffold_58
ENA|JAZBNO010000059|JAZBNO010000059.1	JAZBNO010000059.1	scaffold_59
ENA|JAZBNO010000060|JAZBNO010000060.1	JAZBNO010000060.1	scaffold_60
ENA|JAZBNO010000061|JAZBNO010000061.1	JAZBNO010000061.1	scaffold_61
ENA|JAZBNO010000062|JAZBNO010000062.1	JAZBNO010000062.1	scaffold_62
ENA|JAZBNO010000063|JAZBNO010000063.1	JAZBNO010000063.1	scaffold_63
ENA|JAZBNO010000064|JAZBNO010000064.1	JAZBNO010000064.1	scaffold_64
ENA|JAZBNO010000065|JAZBNO010000065.1	JAZBNO010000065.1	scaffold_65
